Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
API,,,2018-09-01 11:15:09,2018-09-01 11:15:13,3.435s,FAILED
,,,,,,
Test Cases/GETCase,,get test case,2018-09-01 11:15:10,2018-09-01 11:15:13,2.812s,FAILED
Statement - response = com.kms.katalon.core.webservice.keyword.WSBuiltInKeywords.sendRequest(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(GET issue with specified key)),,,2018-09-01 11:15:10,2018-09-01 11:15:12,2.145s,PASSED
verifyResponseStatusCode,,,2018-09-01 11:15:12,2018-09-01 11:15:12,0.044s,PASSED
verifyElementPropertyValue,,,2018-09-01 11:15:12,2018-09-01 11:15:13,0.153s,FAILED
